Name,Appearances
Spider-Man,4043
Captain America,3360
Wolverine,3061
Iron Man,2961
Thor,2258
Benjamin Grimm,2255
Reed Richards,2072
Hulk,2017
Scott Summers,1955
Jonathan Storm,1934
Henry McCoy,1825
Susan Storm,1713
Namor McKenzie,1528
Ororo Munroe,1512
Clinton Barton,1394
Matthew Murdock,1338
Stephen Strange,1307
Mary Jane Watson,1304
John Jonah Jameson,1266
Robert Drake,1265
Henry Pym,1237
Charles Xavier,1233
Warren Worthington III,1230
Piotr Rasputin,1162
Wanda Maximoff,1161
Nicholas Fury,1137
Janet van Dyne,1120
Jean Grey,1107
Natalia Romanova,1050
Kurt Wagner,1047
Vision,1007
May Reilly,1000
Katherine Pryde,886
Carol Danvers,881
Jennifer Walters,881
Emma Frost,880
Frank Castle,878
Luke Cage,856
Rogue,850
Conan,787
Joseph Robertson,752
Pietro Maximoff,740
Hercules,725
Victor von Doom,721
Max Eisenhardt,709
Elizabeth Braddock,708
Norrin Radd,696
Norman Osborn,692
Eugene Thompson,689
Simon Williams,686
Samuel Guthrie,657
James Buchanan Barnes,641
Remy LeBeau,636
Daniel Rand,618
Nathan Summers,612
Elizabeth Brant,599
Richard Jones,590
Edwin Jarvis,567
Alexander Summers,558
Patricia Walker,550
Human Torch,548
Loki Laufeyson,532
Franklin Nelson,528
Brian Braddock,528
Otto Octavius,526
James Rhodes,525
Timothy Dugan,517
Crystalia Amaquelin,512
Samuel Wilson,512
Wilson Fisk,503
Odin Borson,502
Deadpool,500
Dane Whitman,478
Harold Osborn,474
Franklin Richards,473
Jessica Drew,471
Roberto da Costa,464
Rahne Sinclair,448
Elizabeth Ross,446
Lorna Dane,433
Blaine Colt,429
Johnathon Blaze,426
Sif,422
Red Hulk,415
Jubilation Lee,408
Volstagg,406
Balder Odinson,403
Galactus,390
Danielle Moonstar,388
Marc Spector,387
Gwendolyne Stacy,384
Medusalith Amaquelin,382
Sabretooth,382
Illyana Rasputina,380
Johann Shmidt,376
Fandral,375
Sean Cassidy,374
Thomas Raymond,373
Uatu,373
Richard Rider,373
Hogun,371
Raven Darkholme,371
Barbara Morse,368
Blackagar Boltagon,366
Brunnhilde,361
Alison Blaire,353
Venom,348
John Walker,346
Greer Grant,342
Karla Sofen,340
William Baker,338
Sharon Carter,332
Felicia Hardy,332
Cain Marko,329
Monica Rambeau,327
Maria Hill,325
Ben Urich,324
Heather Douglas,323
Millicent Collins,321
