,Player,Position,Team,Age,Club,Games,Shots,Goals,Touches,Passes
35,Ali Assadalla,MF,Qatar,29-333,Al Sadd SC,1,0,0,24.0,23.0
43,Alistair Johnston,DF,Canada,24-071,CF Montréal,3,2,0,209.0,186.0
186,Enzo Ebosse,DF,Cameroon,23-282,Udinese,1,0,0,49.0,38.0
669,Yunus Musah,MF,United States,20-019,Valencia,4,4,0,221.0,182.0
158,DeAndre Yedlin,DF,United States,29-162,Inter Miami,2,0,0,32.0,28.0
237,Hakim Ziyech,FW,Morocco,29-274,Chelsea,7,10,1,386.0,306.0
95,Borna Barišić,DF,Croatia,30-038,Rangers,1,1,0,81.0,69.0
328,Jude Bellingham,MF,England,19-172,Dortmund,5,5,1,324.0,265.0
405,Marcelo Brozović,MF,Croatia,30-032,Inter,6,4,0,594.0,530.0
380,Leander Dendoncker,DF,Belgium,27-247,Aston Villa,2,1,0,142.0,122.0
218,Gaël Ondoua,MF,Cameroon,27-044,Hannover 96,2,0,0,25.0,19.0
464,Morteza Pouraliganji,DF,IR Iran,30-243,Persepolis,3,2,0,156.0,128.0
204,Filip Kostić,DF,Serbia,30-047,Juventus,2,1,0,130.0,113.0
100,Breel Embolo,FW,Switzerland,25-307,Monaco,4,6,2,92.0,62.0
374,Kwon Kyung-won,DF,Korea Republic,30-321,Gamba Osaka,2,1,0,53.0,43.0
233,Guido Rodríguez,MF,Argentina,28-250,Betis,1,0,0,69.0,64.0
162,Denis Zakaria,MF,Switzerland,26-028,Chelsea,2,1,0,32.0,23.0
577,Saša Lukić,MF,Serbia,26-127,Torino,3,1,0,182.0,162.0
535,Raúl Jiménez,FW,Mexico,31-227,Wolves,3,0,0,37.0,32.0
497,Noah Okafor,FW,Switzerland,22-208,RB Salzburg,3,1,0,29.0,22.0
89,Bartosz Bereszyński,DF,Poland,30-159,Sampdoria,4,0,0,197.0,156.0
598,Stephen Eustáquio,MF,Canada,25-362,Porto,2,3,0,109.0,93.0
208,Fodé Ballo-Touré,DF,Senegal,25-349,Milan,1,0,0,10.0,8.0
85,Baba Rahman,DF,Ghana,28-169,Reading,3,0,0,121.0,100.0
254,Hong Chul,DF,Korea Republic,32-092,Daegu,1,0,0,24.0,20.0
540,Richarlison,FW,Brazil,25-222,Tottenham,4,8,3,97.0,58.0
442,Michael Estrada,FW,Ecuador,26-255,Cruz Azul,3,3,0,71.0,50.0
27,Alex Telles,DF,Brazil,30-003,Sevilla,2,0,0,46.0,42.0
284,Jason Cummings,FW,Australia,27-139,Central Coast,1,0,0,9.0,6.0
459,Mohammed Muntari,FW,Qatar,28-363,Al Duhail SC,3,3,1,28.0,19.0
652,Xherdan Shaqiri,FW,Switzerland,31-069,Chicago Fire,3,4,1,111.0,104.0
256,Hossein Kanaanizadegan,DF,IR Iran,28-270,Al Ahli SC,1,0,0,15.0,11.0
484,Nico Elvedi,DF,Switzerland,26-079,M'Gladbach,2,1,0,165.0,142.0
292,Jesús Ferreira,FW,United States,21-359,FC Dallas,1,0,0,24.0,19.0
125,Christian Fassnacht,FW,Switzerland,29-037,Young Boys,1,1,0,12.0,10.0
169,Djorkaeff Reasco,FW,Ecuador,23-334,Newell's OB,1,0,0,3.0,2.0
529,Ramin Rezaeian,DF,IR Iran,32-272,Sepahan,2,2,1,130.0,105.0
422,Mason Mount,MF,England,23-342,Chelsea,4,4,0,91.0,73.0
76,Aurélien Tchouaméni,MF,France,22-325,Real Madrid,7,6,1,533.0,474.0
91,Ben Davies,DF,Wales,29-238,Tottenham,3,3,0,184.0,161.0
