Player,Position,Team,Age,Club,Games,Shots,Goals,Touches,Passes
Aaron Mooy,MF,Australia,32-094,Celtic,4,1,0,255.0,217.0
Aaron Ramsey,MF,Wales,31-357,Nice,3,1,0,147.0,112.0
Abdelhamid Sabiri,MF,Morocco,26-020,Sampdoria,5,3,0,86.0,58.0
Abdelkarim Hassan,DF,Qatar,29-112,Al Sadd SC,3,6,0,193.0,161.0
Abderrazak Hamdallah,FW,Morocco,32-001,Al-Ittihad,4,2,0,28.0,15.0
Abdessamad Ezzalzouli,FW,Morocco,21-001,Osasuna,3,1,0,40.0,13.0
Abdou Diallo,DF,Senegal,26-228,RB Leipzig,4,1,0,210.0,186.0
Abdul Fatawu Issahaku,FW,Ghana,18-285,Sporting CP,1,0,0,2.0,1.0
Abdulaziz Hatem,MF,Qatar,32-051,Al Rayyan SC,3,1,0,98.0,91.0
Abdulelah Al-Amri,DF,Saudi Arabia,25-337,Al-Nassr,3,1,0,129.0,104.0
Abdulellah Al-Malki,MF,Saudi Arabia,28-068,Al-Hilal,2,2,0,105.0,84.0
Abdullah Madu,DF,Saudi Arabia,29-156,Al-Nassr,1,0,0,19.0,13.0
Abdulrahman Al-Aboud,MF,Saudi Arabia,27-200,Al-Ittihad,2,1,0,22.0,13.0
Abolfazl Jalali,DF,IR Iran,24-175,Esteghlal,1,0,0,34.0,29.0
Achraf Dari,DF,Morocco,23-226,Brest,3,1,1,139.0,111.0
Achraf Hakimi,DF,Morocco,24-044,Paris S-G,7,4,0,478.0,382.0
Adrien Rabiot,MF,France,27-259,Juventus,6,9,1,350.0,284.0
Agustín Canobbio,MF,Uruguay,24-078,Atl Paranaense,1,0,0,11.0,7.0
Ahmad Nourollahi,MF,IR Iran,29-319,Al-Ahli Dubai FC,3,5,0,85.0,54.0
Ahmed Alaaeldin,FW,Qatar,29-321,Al-Gharafa Sports Club,1,0,0,2.0,2.0
Aimen Dahmen,GK,Tunisia,25-324,CS Sfaxien,3,0,0,82.0,77.0
Ajdin Hrustic,MF,Australia,26-166,Hellas Verona,3,1,0,32.0,21.0
Akram Afif,FW,Qatar,26-030,Al Sadd SC,3,2,0,181.0,165.0
Alan Franco,MF,Ecuador,24-119,Talleres,2,0,0,16.0,11.0
Alejandro Balde,DF,Spain,19-061,Barcelona,4,1,0,135.0,123.0
Aleksandar Mitrović,FW,Serbia,28-093,Fulham,3,10,2,95.0,69.0
Alex Sandro,DF,Brazil,31-326,Juventus,3,1,0,193.0,169.0
Alex Telles,DF,Brazil,30-003,Sevilla,2,0,0,46.0,42.0
Alexander Bah,DF,Denmark,25-009,Benfica,2,2,0,65.0,53.0
Alexander Djiku,DF,Ghana,28-131,Strasbourg,2,0,0,43.0,28.0
Alexis Mac Allister,MF,Argentina,23-359,Brighton,6,7,1,332.0,265.0
Alexis Vega,FW,Mexico,25-023,Guadalajara,3,9,0,85.0,56.0
Ali Abdi,DF,Tunisia,28-363,Caen,3,0,0,152.0,116.0
Ali Al Hassan,MF,Saudi Arabia,25-289,Al-Nassr,1,1,0,15.0,7.0
Ali Al-Bulaihi,DF,Saudi Arabia,33-027,Al-Hilal,3,0,0,110.0,97.0
Ali Assadalla,MF,Qatar,29-333,Al Sadd SC,1,0,0,24.0,23.0
Ali Gholizadeh,MF,IR Iran,26-283,Charleroi,3,1,0,86.0,72.0
Ali Karimi,MF,IR Iran,28-310,Kayserispor,3,0,0,55.0,45.0
Ali Maâloul,DF,Tunisia,32-351,Al Ahly SC,1,0,0,70.0,63.0
Alidu Seidu,DF,Ghana,22-197,Clermont Foot,2,1,0,98.0,78.0
Alireza Beiranvand,GK,IR Iran,30-088,Persepolis,2,0,0,34.0,31.0
Alireza Jahanbakhsh,MF,IR Iran,29-129,Feyenoord,2,3,0,27.0,17.0
Alisson,GK,Brazil,30-077,Liverpool,4,0,0,101.0,93.0
Alistair Johnston,DF,Canada,24-071,CF Montréal,3,2,0,209.0,186.0
Almoez Ali,FW,Qatar,26-121,Al Duhail SC,3,3,0,66.0,45.0
Alphonso Davies,MF,Canada,22-046,Bayern Munich,3,3,1,156.0,114.0
Amadou Onana,MF,Belgium,21-124,Everton,2,2,0,74.0,64.0
Anass Zaroury,FW,Morocco,22-041,Burnley,1,0,0,15.0,13.0
Andre-Frank Zambo Anguissa,MF,Cameroon,27-032,Napoli,3,1,0,159.0,130.0
Andreas Christensen,DF,Denmark,26-252,Barcelona,3,2,1,280.0,251.0
Andreas Cornelius,FW,Denmark,29-277,FC Copenhagen,3,5,0,48.0,34.0
Andreas Skov Olsen,FW,Denmark,22-354,Club Brugge,2,4,0,76.0,63.0
Andrej Kramarić,FW,Croatia,31-182,Hoffenheim,7,10,2,215.0,176.0
Andries Noppert,GK,Netherlands,28-255,Heerenveen,5,0,0,205.0,192.0
Andrija Živković,DF,Serbia,26-160,PAOK,3,1,0,118.0,96.0
André Ayew,MF,Ghana,33-001,Al Sadd SC,3,1,1,61.0,37.0
André Onana,GK,Cameroon,26-260,Inter,1,0,0,60.0,59.0
André Silva,FW,Portugal,27-042,RB Leipzig,1,0,0,14.0,11.0
Andrés Guardado,MF,Mexico,36-081,Betis,1,0,0,22.0,16.0
Anis Ben Slimane,MF,Tunisia,21-277,Brøndby,2,1,0,72.0,46.0
Ansu Fati,FW,Spain,20-048,Barcelona,2,0,0,33.0,29.0
Ante Budimir,FW,Croatia,31-149,Osasuna,2,1,0,12.0,5.0
Anthony Contreras,FW,Costa Rica,22-323,Club Sport Herediano,3,0,0,38.0,26.0
Antoine Griezmann,MF,France,31-272,Atlético Madrid,7,6,0,381.0,329.0
Antoine Semenyo,FW,Ghana,22-345,Bristol City,2,1,0,6.0,2.0
Antonee Robinson,DF,United States,25-132,Fulham,4,0,0,288.0,241.0
Antonio Rüdiger,DF,Germany,29-290,Real Madrid,3,6,0,273.0,252.0
Antony,FW,Brazil,22-297,Manchester Utd,4,6,0,145.0,109.0
António Silva,DF,Portugal,19-049,Benfica,1,0,0,67.0,62.0
