date,city,state,shape,comments
2025-05-08,Independence,CA,Light,"Saw “star” object appear and disappear, pulled over to watch for 30min and there were multiple crafts."
2025-05-07,Los Angeles,CA,Unknown,Lights are lined up just floating in the air. Not sure how many lights.
2025-05-02,Chino,CA,Formation,28 lights traveling west to east very fast (not satellites)
2025-05-01,Richfield,CA,Orb,A large white orb moving at high speed.
2025-04-30,Escondido,CA,Oval,I was driving east to pick up my son from school when I saw about nine metallic color objects in the horizon sky.
2025-04-30,Rocklin,CA,Other,I saw white flashing things in the sky .They disappeared and reappeared. That happened more than once. I caught it on camera.
2025-04-28,Cottonwood,CA,Oval,It was a cylinder shape with a light on the bottom that looked foggy but it was a clear night moved unnaturally
2025-04-27,Danville,CA,Circle,There was an aircraft in the sky that looked like a star but and it stayed in one spot for about 3 minutes then moved quickly away
2025-04-27,Twentynine Palms,CA,Changing,"The object was rough around the edges, huge moving in a jerky fashion with no clear trajectory all over the sky"
2025-04-27,Los Angeles,CA,Circle,"A light with a halo crossed the sky at about 70 degrees from horizon, to the North, and disappeared in the sky"
2025-04-27,Sanger,CA,Orb,"White, glowing, hazy circular shape flying through the air. Brighter and denser white in center"
2025-04-27,Los Angeles,CA,Unknown,White blur flying across city sky Aircraft approx 600-900agl
2025-04-24,Twentynine Palms,CA,Light,Saw a bright light object with aura
2025-04-24,Forest Falls,CA,Sphere,Saw object moving in east south east direction. With a fighter jet staying up with it about 6 miles to the north of the object.
2025-04-23,Seaside,CA,Disk,Dark disk zipped out of no where over garage hovered without movement then zipped away.
2025-04-21,Chico,CA,Disk,Extremly bright disk shape rotating slighty opposite another ring inside
2025-04-21,Long Beach,CA,Oval,"A strange flying object in the sky. It stopped for a few seconds in front of me, then moved at a blink-of-eye speed without sound."
2025-04-20,Atwater,CA,Triangle,"An explosion, followed by a triangle shaped smoky/cloudy craft flying over our home and out of sight."
2025-04-20,Corte Madera,CA,Disk,One saucer shaped craft with a boxy-rounded shape top. The color was silver and dark gray.
2025-04-20,San Francisco,CA,Other,UAP sighted from my building
2025-04-20,Santa Barbara,CA,Changing,I observed a noisless orange ball in the sky rapidly moving north to south. as it went over the house it had an orange tail.
2025-04-20,Madera,CA,Circle,"It’s the third time I’ve seen it. First time, it appeared and then zoomed off in seconds. Last two times it appears and disappears."
2025-04-18,Loyalton,CA,Unknown,"Nightly bright lights in sky, odd movements, size compared to lit buildings on ground is huge. Multiple craft nightly descend."
2025-04-14,Cottonwood,CA,Formation,We saw a straight line of lights in a strange order but not multiple objects just one big UFO that was bigger than our house
2025-04-14,Dinuba,CA,Triangle,Star gazing saw 3 lights which formed a triangle and moved in unison
2025-04-13,Topanga,CA,Light,"Single bring light, moved fast horizontally across the sky. Visible for about 5-10 seconds."
2025-04-11,Santa Clarita,CA,Orb,Shiny specks flying in patterns then disappearing
2025-04-10,Moreno Valley,CA,Orb,Light appeared in dark sky in place. An airplane flew by then it proceeded to follow it.
2025-04-09,Merced,CA,Light,"Saw the bright moon, looked left and saw an incredibly bright light move extremely fast out the sky"
2025-04-09,Los Alamitos,CA,Circle,A bright blue round object moving horizontally in the sky at a high speed.
2025-04-09,Los Alamitos,CA,Circle,"First noticed the object at a standstill, later moving erratically followed by burst of extreme high speed fading and disappearing"
2025-04-09,San Jose,CA,Cigar,"I saw a ""tictac"" flying in the sky. Unremarkable except it had no obvious wings or protrusions, made no sound, left no trail."
2025-04-08,San Pablo,CA,Other,"It seemed to be shaped like a boomerang, with two balls at the end which had lights and moved very advanced, rolling chair legs. Flat"
2025-04-06,Azusa,CA,Circle,White circles near the Moon that looked like floating balloons
2025-04-05,Eureka,CA,Flash,Object appeared to naked eye as a metallic rectangle that seem to crumple up and expand at an inconsistent rate
2025-04-05,Bolinas,CA,Orb,"Silent orb over Bolinas, tail light split off, rejoined orb cluster.  Later car mysteriously died."
2025-04-04,Porterville,CA,Other,"Octahedron, dark metallic, 600-900ft away, followed parallel w vehicle at same speed, turned 90 degrees away, no lights or sounds."
2025-03-29,Richmond,CA,Cylinder,Stationary object in the sky
2025-03-26,Del Monte Forest,CA,Formation,8 orbs in a horizontal formation then start splitting up into groups of 4 and slowly fading in and out
2025-03-26,Dublin,CA,Orb,Orb traveling at high rate of speed and disappears
2025-03-25,Corona,CA,Orb,Walked out to the back shed at work and noticed aa shining object in the sky.. it seamed to change shapes
2025-03-24,Lancaster,CA,Changing,"Me and fiancé are runing a local ufo reporting and research group , 2nd sighting of craft in month same location.."
2025-03-22,Los Angeles,CA,Orb,Red orb types that illuminated sky
2025-03-22,Orange,CA,Circle,When I saw it was on my way to my game. It was like a big white shiny ball. 10 seconds later I see it just slowly disappeared.
2025-03-22,Huntington Beach,CA,Disk,"Bright, though distant, seemingly rotating disc slowly transgressing in a northerly direction. 1 witness. Object disappeared before 3rd"
2025-03-21,Los Angeles,CA,Star,"Three silent lights formed a triangle, spiraled beautifully overhead, then shot upward and vanished."
2025-03-20,Petaluma,CA,Disk,I was driving and I saw it shoot across the sky from left to right very quickly.
2025-03-19,Lone Pine,CA,Light,"Bright light, a connection, a show of silent power and speed."
2025-03-19,San Diego,CA,Triangle,Black wing shaped object approx. 20 ft wide flying approx 50 feet off ground at approx 40 mph in a northerly direction.
2025-03-15,Giffen Cantua Ranch,CA,Light,Three bright white lights
2025-03-15,Avila Beach,CA,Circle,Very strange slow moving about 200 mph. No noise. Was not plane or rocket. Looked like large white slow moving asteroid.
2025-03-15,Hemet,CA,Light,Object flying from west to southeast Riverside County 6:04am 3/15/25
2025-03-14,Los Angeles,CA,Changing,Saw a blazing red trail split into an amorphous shape and then into three lights
2025-03-14,San Luis Obispo,CA,Chevron,Large silent aircraft lights that didn’t reflect flying low slowly over a hill approaching a farm the memory is hard to focus on
2025-03-08,Baywood-Los Osos,CA,Disk,Object was floating around outside our dining room window to the north. Wobbling and wiggling sort of and rotating slowly.
2025-03-07,Clovis,CA,Unknown,"Distant object caught my eye very far away, watched for 3 minutes, it changed trajectory 90° I have film, but it's difficult."
2025-03-06,Jurupa Valley,CA,Triangle,"Spotted odd black craft heading SE into clouds, moving fast."
2025-03-06,Sacramento,CA,Disk,I was standing out on the side of the house and I looked up and saw this short skinny white object floating really slow across.
