Name,English name,Episodes,Aired,Genres,Score
Cowboy Bebop,Cowboy Bebop,26,"Apr 3, 1998 to Apr 24, 1999","Action, Award-Winning, Sci-Fi",8.75
Cowboy Bebop: Tengoku no Tobira,Cowboy Bebop: The Movie,1,"Sep 1, 2001","Action, Sci-Fi",8.38
Trigun,Trigun,26,"Apr 1, 1998 to Sep 30, 1998","Action, Adventure, Sci-Fi",8.22
Witch Hunter Robin,Witch Hunter Robin,26,"Jul 3, 2002 to Dec 25, 2002","Action, Drama, Mystery, Supernatural",7.25
Bouken Ou Beet,Beet the Vandel Buster,52,"Sep 30, 2004 to Sep 29, 2005","Adventure, Fantasy, Supernatural",6.94
Eyeshield 21,UNKNOWN,145,"Apr 6, 2005 to Mar 19, 2008",Sports,7.92
Hachimitsu to Clover,Honey and Clover,24,"Apr 15, 2005 to Sep 27, 2005","Comedy, Drama, Romance",8.0
Hungry Heart: Wild Striker,UNKNOWN,52,"Sep 11, 2002 to Sep 10, 2003","Comedy, Slice of Life, Sports",7.55
Initial D Fourth Stage,UNKNOWN,24,"Apr 17, 2004 to Feb 18, 2006","Action, Drama",8.16
Monster,Monster,74,"Apr 7, 2004 to Sep 28, 2005","Drama, Mystery, Suspense",8.87
Naruto,Naruto,220,"Oct 3, 2002 to Feb 8, 2007","Action, Adventure, Fantasy",7.99
Tennis no Ouji-sama,The Prince of Tennis,178,"Oct 10, 2001 to Mar 23, 2005",Sports,7.86
Ring ni Kakero 1,UNKNOWN,12,"Oct 6, 2004 to Dec 15, 2004","Action, Sports",6.39
School Rumble,School Rumble,26,"Oct 5, 2004 to Mar 29, 2005","Comedy, Romance",7.89
Texhnolyze,Texhnolyze,22,"Apr 17, 2003 to Sep 25, 2003","Action, Drama, Sci-Fi",7.76
Trinity Blood,Trinity Blood,24,"Apr 29, 2005 to Oct 28, 2005","Action, Supernatural",7.29
Yakitate!! Japan,Yakitate!! Japan,69,"Oct 12, 2004 to Mar 14, 2006","Comedy, Gourmet",7.91
Zipang,UNKNOWN,26,"Oct 8, 2004 to Apr 1, 2005","Action, Drama, Sci-Fi",7.48
Neon Genesis Evangelion,Neon Genesis Evangelion,26,"Oct 4, 1995 to Mar 27, 1996","Action, Avant Garde, Award-Winning, Drama, Sci-Fi, Suspense",8.35
Neon Genesis Evangelion: Death & Rebirth,Neon Genesis Evangelion: Death & Rebirth,1,"Mar 15, 1997","Drama, Sci-Fi",7.46
Neon Genesis Evangelion: The End of Evangelion,Neon Genesis Evangelion: The End of Evangelion,1,"Jul 19, 1997","Avant Garde, Drama, Sci-Fi",8.55
Kenpuu Denki Berserk,Berserk,25,"Oct 8, 1997 to Apr 1, 1998","Action, Adventure, Drama, Fantasy, Horror",8.56
Koukaku Kidoutai,Ghost in the Shell,1,"Nov 18, 1995","Action, Award-Winning, Mystery, Sci-Fi, Suspense",8.27
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Samurai X: Trust and Betrayal,4,"Feb 20, 1999 to Sep 22, 1999","Action, Drama, Romance",8.71
Rurouni Kenshin: Meiji Kenkaku Romantan,Rurouni Kenshin,94,"Jan 10, 1996 to Sep 8, 1998","Action, Adventure, Comedy, Romance",8.29
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Samurai X: The Motion Picture,1,"Dec 20, 1997",Drama,7.55
Akira,Akira,1,"Jul 16, 1988","Action, Adventure, Horror, Sci-Fi, Supernatural",8.16
.hack//Sign,.hack//Sign,26,"Apr 4, 2002 to Sep 26, 2002","Adventure, Fantasy, Mystery",6.95
Aa! Megami-sama!,Oh! My Goddess,5,"Feb 21, 1993 to May 17, 1994","Comedy, Romance, Supernatural",7.29
Aa! Megami-sama! (TV),Ah! My Goddess,24,"Jan 7, 2005 to Jul 8, 2005","Comedy, Romance, Supernatural",7.32
Tenshi Kinryouku,Angel Sanctuary,3,"May 25, 2000 to Aug 25, 2000","Action, Drama, Romance, Supernatural",6.27
Kidou Tenshi Angelic Layer,Battle Doll Angelic Layer,26,"Apr 1, 2001 to Sep 23, 2001","Award-Winning, Comedy, Drama, Sci-Fi, Sports",7.26
Ai Yori Aoshi,Ai Yori Aoshi,24,"Apr 11, 2002 to Sep 26, 2002","Comedy, Drama, Romance",7.11
Appleseed (Movie),UNKNOWN,1,"Apr 17, 2004","Action, Drama, Sci-Fi",7.06
Arc the Lad,UNKNOWN,26,"Apr 5, 1999 to Oct 11, 1999","Action, Adventure, Fantasy, Horror, Sci-Fi",6.51
Avenger,UNKNOWN,13,"Oct 2, 2003 to Dec 25, 2003","Adventure, Fantasy, Sci-Fi",5.86
Beck,Beck: Mongolian Chop Squad,26,"Oct 7, 2004 to Mar 31, 2005","Comedy, Drama, Slice of Life",8.29
Blue Gender,Blue Gender,26,"Oct 8, 1999 to Mar 31, 2000","Adventure, Drama, Horror, Romance, Sci-Fi",7.03
Chrno Crusade,Chrono Crusade,24,"Nov 25, 2003 to Jun 10, 2004","Action, Romance, Supernatural",7.62
D.N.Angel,D.N.Angel,26,"Apr 3, 2003 to Sep 25, 2003","Action, Comedy, Fantasy, Romance",7.17
D.C.: Da Capo,D.C.~Da Capo~,26,"Jul 5, 2003 to Dec 27, 2003","Drama, Romance",6.72
Rozen Maiden,Rozen Maiden,12,"Oct 8, 2004 to Dec 24, 2004","Action, Comedy, Drama",7.41
Rozen Maiden: Träumend,Rozen Maiden: Träumend,12,"Oct 21, 2005 to Jan 27, 2006","Action, Comedy, Drama",7.62
Azumanga Daiou The Animation,Azumanga Daioh: The Animation,26,"Apr 9, 2002 to Oct 1, 2002","Comedy, Slice of Life",7.99
Basilisk: Kouga Ninpou Chou,Basilisk,24,"Apr 13, 2005 to Sep 21, 2005","Action, Drama, Romance",7.55
Black Cat (TV),Black Cat,23,"Oct 7, 2005 to Mar 31, 2006","Action, Adventure, Sci-Fi",7.33
Cluster Edge,UNKNOWN,25,"Oct 5, 2005 to Mar 29, 2006","Action, Fantasy, Sci-Fi",6.31
Full Metal Panic!,Full Metal Panic!,24,"Jan 8, 2002 to Jun 18, 2002","Action, Comedy, Sci-Fi",7.61
Full Metal Panic? Fumoffu,Full Metal Panic? Fumoffu,12,"Aug 26, 2003 to Nov 18, 2003","Action, Comedy",8.03
Full Metal Panic! The Second Raid,Full Metal Panic! The Second Raid,13,"Jul 14, 2005 to Oct 20, 2005",Action,7.93
Gakuen Alice,Gakuen Alice,26,"Oct 30, 2004 to May 14, 2005","Comedy, Fantasy",7.64
Soukyuu no Fafner: Dead Aggressor,Fafner,25,"Jul 5, 2004 to Dec 27, 2004","Action, Drama, Sci-Fi",7.26
Mahou Shoujo Lyrical Nanoha,Magical Girl Lyrical Nanoha,13,"Oct 3, 2004 to Dec 26, 2004","Action, Comedy, Drama",7.41
Mahou Shoujo Lyrical Nanoha A's,Magical Girl Lyrical Nanoha A's,13,"Oct 2, 2005 to Dec 25, 2005","Action, Comedy, Drama",7.97
Kidou Senshi Gundam,Mobile Suit Gundam,43,"Apr 7, 1979 to Jan 26, 1980","Action, Drama, Sci-Fi",7.76
Kidou Senshi Gundam: Dai 08 MS Shoutai,Mobile Suit Gundam: The 08th MS Team,12,"Jan 25, 1996 to Jul 25, 1999","Adventure, Drama, Romance, Sci-Fi",8.01
Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,Mobile Suit Gundam 0080: War in the Pocket,6,"Mar 25, 1989 to Aug 25, 1989","Drama, Sci-Fi",7.96
