Week,Title,Date,#,Lecture,Readings,Links,Keywords,Homework,Discussion,Lab,Quiz,Survey
1,Python Basics,Mon 4/1,1,Introduction,CIT 1.0-1.3,https://inferentialthinking.com/chapters/01/what-is-data-science.html,"data science, course structure, policies, syllabus, Little Women demo",,,,,[Welcome Survey](https://forms.gle/3GxRkRjnhSUDaGA46)
,,Wed 4/3,2,Expressions and Data Types,BPD 1-6,https://notes.dsc10.com/01-getting_started/tools.html,"Jupyter notebooks, expressions, variables, assignment, functions, int, float",,1. Getting Started with Jupyter Notebooks,,,
,,Fri 4/5,3,"Strings, Lists, and Arrays","BPD 7-8, CIT 14.1","https://notes.dsc10.com/02-data_sets/arrays.html, https://inferentialthinking.com/chapters/14/1/Properties_of_the_Mean.html#","string methods, mean, median, lists, arrays, array arithmetic",,,,,
,,Sat 4/6,,,,,,,,0. Expressions and Data Types,,
2,DataFrames,Mon 4/8,4,Arrays and DataFrames,BPD 9,https://notes.dsc10.com/02-data_sets/accessing.html,"array methods, np.arange, .read_csv, .get, .assign, .sort_values, .iloc, .loc, index",,,,,
,,Tue 4/9,,,,,,,,1. Arrays and DataFrames,,
,,Wed 4/10,5,Querying and Grouping,BPD 10-11,https://notes.dsc10.com/02-data_sets/querying.html,".set_index, Booleans, querying, .shape, &, |, .take, .groupby, aggregation",,2. Arrays and DataFrames,,,
,,Fri 4/12,6,Grouping and Data Visualization,CIT 7.0-7.1,https://inferentialthinking.com/chapters/07/Visualization.html,".groupby, numerical vs. categorical, scatter plot, line plot, bar chart",,,,1. Quiz 1 covers Lectures 1-4,
3,Data Visualization and Functions,Mon 4/15,7,Distributions and Histograms,CIT 7.2-7.3,https://inferentialthinking.com/chapters/07/2/Visualizing_Numerical_Distributions.html,"distributions, density histograms, binning, total area, overlaid plots",,,,,
,,Tue 4/16,,,,,,"1. Basic Python, Arrays, and DataFrames",,,,
,,Wed 4/17,8,Functions and Applying,"BPD 6, 12","https://notes.dsc10.com/01-getting_started/functions-defining.html#example, https://notes.dsc10.com/02-data_sets/apply.html","functions, arguments, print vs. return, .apply, .reset_index",,"3. Querying, Grouping, and Plotting",,,
,,Thu 4/18,,,,,,,,2. Data Visualizations and Functions,,
,,Fri 4/19,9,"Grouping on Multiple Columns, Merging","BPD 11, 13","https://notes.dsc10.com/02-data_sets/groupby.html, https://notes.dsc10.com/02-data_sets/merging.html",".groupby([col_1, col_2, …]), subgroups, MultiIndex, .merge, number of rows",,,,,
4,Control Flow and Probability,Mon 4/22,10,Conditional Statements and Iteration,CIT 9.0-9.2,https://inferentialthinking.com/chapters/09/Randomness.html,"in, not, and, or, if, else, elif, for-loops, np.append, accumulator pattern",,,,,
,,Tue 4/23,,,,,,"2. DataFrames, Data Visualization, and Functions",,,,
,,Wed 4/24,11,Probability,CIT 9.5,https://inferentialthinking.com/chapters/09/5/Finding_Probabilities.html,"event, conditional prob., multiplication and addition rules, independence",,"4. Functions, DataFrames, and Control Flow",,,
,,Thu 4/25,,,,,,,,"3. DataFrames, Control Flow, and Probability",,Mid-Quarter Survey
,,Fri 4/26,12,Simulation,CIT 9.3-9.4,https://inferentialthinking.com/chapters/09/3/Simulation.html,"np.random.choice, replacement, np.count_nonzero, coin flipping, Monty Hall",,,,2. Quiz 2 covers Lectures 5-9,
5,"Simulation, Sampling, and Confidence Intervals",Mon 4/29,13,Distributions and Sampling,CIT 10.0-10.4,https://inferentialthinking.com/chapters/10/Sampling_and_Empirical_Distributions.html,"probability vs. empirical distribution, SRS, .sample, parameter, statistic",,,,,
,,Tue 4/30,,,,,,"3. DataFrames, Control Flow, and Probability",,,,
,,Wed 5/1,14,Midterm Review,,,,,5. Probability and Simulation,,,
,,Fri 5/3,,Midterm Exam covers Lectures 1-12,,,,,,,,
6,Midterm Exam and the Normal Distribution,Mon 5/6,15,Bootstrapping and Confidence Intervals,CIT 13.0-13.2,https://inferentialthinking.com/chapters/13/Estimation.html,"inference, bootstrapping, resample, np.percentile, confidence interval",,,,,
,,Tue 5/7,,,,,,Midterm Project,,,,
,,Wed 5/8,16,"Confidence Intervals, Center, and Spread",CIT 13.3-13.4,https://inferentialthinking.com/chapters/13/3/Confidence_Intervals.html,"interpreting CIs, robust vs. sensitive, center, standard deviation, Chebyshev",,"6. Sampling, Bootstrapping, and Confidence Intervals",,,
,,Thu 5/9,,,,,,,,"4. Simulation, Sampling, & Bootstrapping",,
,,Fri 5/10,17,Standardization and the Normal Distribution,CIT 14.2-14.3,https://inferentialthinking.com/chapters/14/2/Variability.html,"Chebyshev, standard units, normal distribution, CDF, inflection points",,,,,
7,Central Limit Theorem,Mon 5/13,18,The Central Limit Theorem,CIT 14.4-14.5,https://inferentialthinking.com/chapters/14/4/Central_Limit_Theorem.html,"distribution of the sample mean, square root law, CLT-based CIs",,,,,
,,Tue 5/14,,,,,,"4. Simulation, Sampling, Bootstrapping",,,,
,,Wed 5/15,19,"Choosing Sample Sizes, Statistical Models","CIT 14.6, 11.1","https://inferentialthinking.com/chapters/14/6/Choosing_a_Sample_Size.html, https://inferentialthinking.com/chapters/11/1/Assessing_a_Model.html","standard deviation of 0s and 1s, np.random.multinomial, Robert Swain jury",,7. Standardization and the Normal Distribution,,,
,,Thu 5/16,,,,,,,,5. Variability and the Normal Distribution,,
